"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59851","Roshan_E2E_Web_Scenario:3 - Complete E2E Placing Order fetched data from Excel @Web","webkit","Mon Sep 01 21:29:09 NZST 2025","passed","Mon Sep 01 21:30:09 NZST 2025","","E2E_PO_excel.spec.js","",""
"","21606","Roshan_E2E_Web_Scenario:2-Verfiy navigation till Cart @Web","firefox","Mon Sep 01 21:28:43 NZST 2025","passed","Mon Sep 01 21:29:05 NZST 2025","","E2E_PO_json.spec.js","",""
"","20631","Roshan_E2E_Web_Scenario:4 - Complete E2E Placing Order with data fetched from Database @Web","firefox","Mon Sep 01 21:28:13 NZST 2025","passed","Mon Sep 01 21:28:34 NZST 2025","","E2E_PO_db.spec.js","",""
"","53905","Roshan_E2E_Web_Scenario:1 - Complete E2E Placing Order with data fetched from JSON @Web","webkit","Mon Sep 01 21:29:56 NZST 2025","passed","Mon Sep 01 21:30:50 NZST 2025","","E2E_PO_json.spec.js","",""
"","58049","Roshan_E2E_Web_Scenario:4 - Complete E2E Placing Order with data fetched from Database @Web","webkit","Mon Sep 01 21:28:57 NZST 2025","passed","Mon Sep 01 21:29:55 NZST 2025","","E2E_PO_db.spec.js","",""
"","16627","Roshan_E2E_Web_Scenario:1 - Complete E2E Placing Order with data fetched from JSON @Web","firefox","Mon Sep 01 21:28:36 NZST 2025","passed","Mon Sep 01 21:28:53 NZST 2025","","E2E_PO_json.spec.js","",""
"","20815","Roshan_E2E_Web_Scenario:2-Verfiy navigation till Cart @Web","webkit","Mon Sep 01 21:30:11 NZST 2025","passed","Mon Sep 01 21:30:32 NZST 2025","","E2E_PO_json.spec.js","",""
"","21041","Roshan_E2E_Web_Scenario:3 - Complete E2E Placing Order fetched data from Excel @Web","firefox","Mon Sep 01 21:28:20 NZST 2025","passed","Mon Sep 01 21:28:41 NZST 2025","","E2E_PO_excel.spec.js","",""
"","30383","Roshan_E2E_Web_Scenario:4 - Complete E2E Placing Order with data fetched from Database @Web","chromium","Mon Sep 01 21:27:13 NZST 2025","passed","Mon Sep 01 21:27:43 NZST 2025","","E2E_PO_db.spec.js","",""
"","25633","Roshan_E2E_Web_Scenario:1 - Complete E2E Placing Order with data fetched from JSON @Web","chromium","Mon Sep 01 21:27:48 NZST 2025","passed","Mon Sep 01 21:28:13 NZST 2025","","E2E_PO_json.spec.js","",""
"","17977","Roshan_E2E_Web_Scenario:2-Verfiy navigation till Cart @Web","chromium","Mon Sep 01 21:27:49 NZST 2025","passed","Mon Sep 01 21:28:07 NZST 2025","","E2E_PO_json.spec.js","",""
"","33605","Roshan_E2E_Web_Scenario:3 - Complete E2E Placing Order fetched data from Excel @Web","chromium","Mon Sep 01 21:27:14 NZST 2025","passed","Mon Sep 01 21:27:48 NZST 2025","","E2E_PO_excel.spec.js","",""
